,act,emp,des
31/10/2004,58.18580243,50.98930601,12.36813126
30/11/2004,57.89783729,51.03002909,11.86194255
31/12/2004,58.84791597,51.7467235,12.06702456
31/1/2005,57.55952557,51.28183687,10.90642883
28/2/2005,59.22399923,51.85561205,12.44155625
31/3/2005,57.15932921,49.76481809,12.93666531
30/4/2005,59.51446173,52.1744646,12.33313202
31/5/2005,57.46653562,50.83416841,11.54126856
30/6/2005,58.96298083,51.28887817,13.01511991
31/7/2005,56.96345565,50.87534529,10.68774759
31/8/2005,59.10244037,51.29588993,13.20850778
30/9/2005,58.82812825,51.31517445,12.77102302
31/10/2005,57.75650353,51.14334437,11.4500684
30/11/2005,59.40761655,52.64892989,11.37680157
31/12/2005,59.93721264,51.87373313,13.45321071
